debugnonce_start:  3000000000
Mining block template, height 828267...
header:  b'\x00\x00\x00 \xb92g\x89\x93`a\x9f\t\xbc\x18\x88\xfay\x9ag\t:/\xbb4+\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00.\x85\xe4\x1a\x07\xf8g$\xce\xfa\xf1\xe1\xf9\x87\xe8\x00\\\xf0:\xbe\xb7\xe9\x81\xd2\xa2]\x9bFc\x12\xc5\xfc\xd6\x82\xbaeZ\x00\x04\x17\x00\x00\x00\x00'
3041000000   3e8c0ea8c5038dffc1991c2b564d249e58d93ba2ba8be67eef1a5286bda76b19   00000000000000000004005a0000000000000000000000000000000000000000
3042000000   9d755592482581c708366ccbe7bfc989515c3f28c2a03f3719fe5922ba8b57ac   00000000000000000004005a0000000000000000000000000000000000000000
3043000000   ddd67cb01ab4fb5ef7a58a3d310a27ab67d2051c0e4f0b2ce5d44d2d58cef455   00000000000000000004005a0000000000000000000000000000000000000000
3044000000   0058bb20e5b67bdab3005f7678287aebb452f2c84b5231039426612e04209b28   00000000000000000004005a0000000000000000000000000000000000000000
3045000000   51384766eeefa34bf3fa4a7ae7fb5ff2f27e4e4045b60afbdd082640f1434acd   00000000000000000004005a0000000000000000000000000000000000000000
3046000000   9bfb2268339e8a3b53d6281fb5ee38860d8134d7d133649f336f5d707658c64f   00000000000000000004005a0000000000000000000000000000000000000000
3047000000   23974d3fe43a0006c3d8df478947bb0821b11d3a581784e359e0a4b410073f11   00000000000000000004005a0000000000000000000000000000000000000000
3048000000   858676bc32dc00858dc13f95a19bf077ffc01cc57a6c6f21613cad6648a09b49   00000000000000000004005a0000000000000000000000000000000000000000
3049000000   6112f274fee27bac9a04b9a342e9adb9e0a6adcd57c4807fbb4ae96da67c073a   00000000000000000004005a0000000000000000000000000000000000000000
3050000000   95d5955c12fc95b4bb96d74d3edfe52b0e3a3848882585d45f24ddfaf9c5aa3f   00000000000000000004005a0000000000000000000000000000000000000000
3051000000   74c5d6ee47ef691bb16645e9f7f0695a20a2b395e6da6eae88bea789a38cd692   00000000000000000004005a0000000000000000000000000000000000000000
3052000000   3150838c4115e605f34e16078148c556b82fa2749c15da8291c08b9ee8fe9b16   00000000000000000004005a0000000000000000000000000000000000000000
3053000000   de1b918b071d32cbaa1689d4701f4179d56bca773f7f9284bba5100763f593c4   00000000000000000004005a0000000000000000000000000000000000000000
3054000000   
