debugnonce_start:  3000000000
Mining block template, height 828267...
header:  b'\x00\x00\x00 \xb92g\x89\x93`a\x9f\t\xbc\x18\x88\xfay\x9ag\t:/\xbb4+\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfccH\xa8\xd5\x1e)<b\xb9\xf9z\xc7\xd1\x08u\x0f\x02\x88\x9e\x12l\xea\xae\x7f\x8f@\xdf\x15\xf4x\xc0\xd6\x82\xbaeZ\x00\x04\x17\x00\x00\x00\x00'
3025000000   89f30ad24a29e0bfbbd2dcc847097d5b4f512a54eb534aa1e7975e071e3ae548   00000000000000000004005a0000000000000000000000000000000000000000
3026000000   261670b45de9fa72aa06aaf210ee4da5f346877dadd74db66c984b72fdde99fb   00000000000000000004005a0000000000000000000000000000000000000000
3027000000   96e22d20dc74589140b8732245b98a601feb9d484da73a53844d7a4631960f34   00000000000000000004005a0000000000000000000000000000000000000000
3028000000   ca5442c762e23e5490abaddeb048814a6a29b2478fe04b19c6b6e67e545e7537   00000000000000000004005a0000000000000000000000000000000000000000
3029000000   1f09b91390c2cd9f073d8f2fc683477b79425a93d844181cbf028be985c4ec3f   00000000000000000004005a0000000000000000000000000000000000000000
3030000000   e9f7f77c01bd10acf8b4cd5a9924595a62dec52f6445ebbe583a9a484472e218   00000000000000000004005a0000000000000000000000000000000000000000
3031000000   8facb73a5fc674bdcd88c25c7d4bbf3e725eb9adaace9e1e19e1a4247391c231   00000000000000000004005a0000000000000000000000000000000000000000
3032000000   c9ed383aeb70b9973b7097872b4cd3245a57f5d325d64c536ee2da626ab9f3cc   00000000000000000004005a0000000000000000000000000000000000000000
3033000000   b995fb04e3c5226901a537c427d1abc50857f09606873a0ca66d9aaf926a73e5   00000000000000000004005a0000000000000000000000000000000000000000
3034000000   535506f0a1985361d819f0fcf9b0f4b300724af4261d82e239cffde0e0662a7a   00000000000000000004005a0000000000000000000000000000000000000000
3035000000   92b65ab4bbe600436466ead4011d74770f6f9a24b9501c3564f14288f6184be4   00000000000000000004005a0000000000000000000000000000000000000000
3036000000   c168cb7c8ed1a312599637ea36ae4bddabf9e5ddf90270b200dbe5829faf5e45   00000000000000000004005a0000000000000000000000000000000000000000
3037000000   4bc2db4c27abe97610cce729b171a07557df65703760b3296e83df534f40e887   00000000000000000004005a0000000000000000000000000000000000000000
3038000000   0e144ada8b4c596eecbc08c49fce0a83c2af9cfcb96fc8376e9ad16b25ff4b1d   00000000000000000004005a0000000000000000000000000000000000000000
3039000000   8e65d516807dfe916bcb069340eab24ad13143b5d62fb2d5da0dadd031ce23e9   00000000000000000004005a0000000000000000000000000000000000000000
3040000000   a7dd2afbb0e34d23790121b189753a3103fd25db462c5e2a391c32a17479dcef   00000000000000000004005a0000000000000000000000000000000000000000
3041000000   52f13dea40f5db84d5a6f1fc1a17fd86d3e77fa57a8bf5392b2b5786cbf5e193   00000000000000000004005a0000000000000000000000000000000000000000
3042000000   db95923f8eb56d7b87070393a8a6f2b2728f1856ba7440d6a2be5975dbc4fa4f   00000000000000000004005a0000000000000000000000000000000000000000
3043000000   04d3f146601ecd2057dbe486341c233d133402bbe22bb92aed7bac4aa55046a9   00000000000000000004005a0000000000000000000000000000000000000000
3044000000   7f6930d6c3dfd9402043a88628cb1bf683ccf26da126dee9a0abd1cc00fd09b3   00000000000000000004005a0000000000000000000000000000000000000000
3045000000   91c8187c811ded01f1e5bc7b3d78c2fc9ee61cd3b710e99539c36faaa08a5492   00000000000000000004005a0000000000000000000000000000000000000000
3046000000   1f9bc478b4c30eabddb60c85593a7fbc5c8dc8371077828e047fd7dee16658bb   00000000000000000004005a0000000000000000000000000000000000000000
3047000000   bc6abfbb82132c6b97bd321bb300d612b291b42f8bf1fa9b53f308cf71752ec6   00000000000000000004005a0000000000000000000000000000000000000000
3048000000   bce62e221c76e0f541d7f54619ec7c4027fd2381736006611b1cecab5db35de1   00000000000000000004005a0000000000000000000000000000000000000000
3049000000   03977dd7c5fd5f8745be992dfa847aa456aba020894033fa59996243aa0c79b4   00000000000000000004005a0000000000000000000000000000000000000000
3050000000   8cfaf147475fb051a498c6ecff832f390a7397b56ba750761fd5375f853c5fba   00000000000000000004005a0000000000000000000000000000000000000000
3051000000   341f14c4e2d21eb74f527f68cc479aa0395815ee0ebadf454ded91fb5e71b640   00000000000000000004005a0000000000000000000000000000000000000000
3052000000   acd161b244e9cba1da1535034dca84c56b556b5964c43dab67eae69efad2d6af   00000000000000000004005a0000000000000000000000000000000000000000
3053000000   6bab137e79175033e66450cbef79d1eb5d536ac92e6e66838a0e1241c8310dec   00000000000000000004005a0000000000000000000000000000000000000000
3054000000   
