debugnonce_start:  0
Mining block template, height 828267...
header:  b'\x00\x00\x00 \xb92g\x89\x93`a\x9f\t\xbc\x18\x88\xfay\x9ag\t:/\xbb4+\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00!\xa9\x07?t\xc8\xca\x93\xdczsK\xd2\xa7\xb2\xd1e\xb0`S=]\xbf\xd2\xca8U\xf0\xe6\x99\x19\xaa\xd6\x82\xbaeZ\x00\x04\x17\x00\x00\x00\x00'
41000000   fedf81e2142470e6cb302765bef801524fa1c508a88af78d35310f86ac3d7049   00000000000000000004005a0000000000000000000000000000000000000000
42000000   a935531b6fd0e8fbac123cbd4e5323e4674097e4c9fa346fa5f91ff41eba5a83   00000000000000000004005a0000000000000000000000000000000000000000
43000000   7db9af74aad0ae3fa7c3e471de1904df136419a6fa73de388a5065303c0ffd42   00000000000000000004005a0000000000000000000000000000000000000000
44000000   3790f3f3e38448819329e6a76058faa00e30b0135bde31262d896ec849d34903   00000000000000000004005a0000000000000000000000000000000000000000
45000000   6604cbd960c1a226dd3e4d4e25ed9cdfb1e5a04fadf02699d17686459fa4c920   00000000000000000004005a0000000000000000000000000000000000000000
46000000   b42f6a7a9274ec03fd1b5f6dc5c2fec576935de25f45a22a15a2efc30bad8c7c   00000000000000000004005a0000000000000000000000000000000000000000
47000000   2acadb178a3f433bba6ba7c72c431cf504dad5245140f0b35fb4fa5a3c861ea5   00000000000000000004005a0000000000000000000000000000000000000000
48000000   c3d2e8e650d5ff89a12aef8bd00a11f5b4e681ef1fe660169b812bd39babc470   00000000000000000004005a0000000000000000000000000000000000000000
49000000   35b330bb1efe2666ce7156e50f277887dc95f8a2b23e01e8155f93ffcf2210c6   00000000000000000004005a0000000000000000000000000000000000000000
50000000   7a181cb6347cbb8a2a77efa9c98a97ffa12c8028596584a10114f746e529f954   00000000000000000004005a0000000000000000000000000000000000000000
51000000   aace28899231a1944e34bf0f9a3efcb6592b50d9d56deda6ceeaef7d1730cbe0   00000000000000000004005a0000000000000000000000000000000000000000
52000000   11b5a6b7b16ad74df04395ecf6dd61e440d89454678394629340e5c14ffad4cb   00000000000000000004005a0000000000000000000000000000000000000000
53000000   e97d4c29bc777de66c2078fa0fb9e2e1299eb5815d22bd9c37a0e6d4c8c7f600   00000000000000000004005a0000000000000000000000000000000000000000
54000000   e5383fc6ccb31dba182967f58d8df0814c9f1e174e8f19bf640285756f84f344   00000000000000000004005a0000000000000000000000000000000000000000
55000000   
